averageOfDistance,
11.00683,0
12.01868,NaN
13.0219,NaN
14.02288,NaN
15.02365,NaN
16.02643,22.03928
17.02655,22.03928
18.02678,22.17673
19.02827,22.48729
20.03344,22.48729
21.0365,22.62696
22.04208,21.58002
23.04237,21.58002
24.04514,20.98133
25.04646,20.98133
26.05495,20.88442
27.0632,20.29537
28.06788,19.41982
29.07348,19.48373
30.07794,19.5588
31.0796,19.5588
32.08421,19.54895
33.08607,19.42863
34.09109,18.49753
35.09779,18.49753
36.09815,17.20372
37.10357,16.62231
38.10382,15.92066
39.10711,15.60546
40.12095,16.52741
41.12746,16.52741
42.13324,17.37227
43.14056,19.13961
44.14989,19.13961
45.159,19.26724
46.16436,19.25957
47.17343,19.26173
48.18036,19.26173
49.18452,19.26173
50.19704,19.26173
51.20487,15.85386
52.20526,14.22493
53.20854,14.22493
54.22014,14.22493
55.22688,12.71763
56.22797,9.558523
57.23657,10.39428
58.25149,11.89973
59.25829,12.972
60.25905,14.46975
61.26316,17.89614
62.2664,17.89614
63.27821,19.70766
64.28677,20.33782
65.29699,20.46239
66.30936,20.46239
67.32154,19.81159
68.33405,19.48384
69.33762,19.44265
70.33809,19.48293
71.34511,19.19945
72.35062,19.05783
73.35913,19.12743
74.36275,19.44984
75.36505,19.75182
76.37286,20.34753
77.38171,20.34753
78.38361,19.63128
79.3908,19.42027
80.39187,19.42027
81.39754,19.42027
82.39906,18.56984
83.40901,18.3227
84.41489,17.97764
85.42123,16.05532
86.4243,16.12202
87.42885,16.28056
88.43276,16.28056
89.43291,17.85171
90.43531,16.82001
91.43671,16.82001
92.43904,18.59053
93.44267,18.77114
94.44883,19.36768
95.45422,19.36768
96.46294,19.50629
97.46967,20.22956
98.47597,20.22956
99.48064,20.29251
100.4817,20.78015
101.482,20.78015
102.4849,20.56316
103.4853,19.65381
104.493,19.80119
105.5013,19.86883
106.5069,19.86883
107.5167,20.10632
108.524,19.58267
109.5279,19.58267
110.5385,19.83629
111.5418,19.83629
112.5433,19.79332
113.5476,19.79332
114.5526,19.79332
115.553,17.91844
116.5622,16.08289
117.5678,16.08289
118.5727,14.25339
119.5798,14.25339
120.5814,12.33711
121.5885,12.33711
122.5988,12.33711
123.606,12.33711
124.6175,12.33711
125.6188,12.33711
126.6236,12.33711
127.6312,12.33711
